new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 08:50:00,61.00999832,46.52166748,1.5,707.0999756,1,23.4,1005.700012,467.0909729,23.23266602
2021-09-07 08:55:00,61.33666611,46.55266571,1.600000024,706.5666504,3,23.4,1005.700012,467.0844421,23.40566635
2021-09-07 09:00:00,63.49285889,46.53749847,1.75,709.2857056,3,23.5,1005.801636,467.2875671,23.31999969
2021-09-07 09:05:00,61.82666779,46.63000107,1.866666675,709.833313,2,23.5,1005.800049,469.06427,23.25866699
2021-09-07 09:10:00,60.22999954,46.8429985,1.600000024,707.333313,3,23.4,1006.0,467.0944824,23.15266609
2021-09-07 09:15:00,61.70000076,46.83033371,1.833333373,695.5999756,4,23.4,1006.0,470.2928467,23.12233353
2021-09-07 09:20:00,65.38965607,46.95758438,1.793103456,688.0689697,1,23.3,1006.200012,469.2932739,23.07344818
2021-09-07 09:25:00,65.83333588,46.97433472,1.966666698,689.666687,3,23.3,1006.200012,468.8934937,23.09933281
2021-09-07 09:30:00,63.28333282,46.89266586,1.966666698,680.7333374,1,23.3,1006.200012,468.2939758,23.07766724
2021-09-07 09:35:00,65.08999634,46.95733261,2.0,673.2666626,4,23.2,1006.200012,470.2731934,23.048666
2021-09-07 09:40:00,66.8133316,46.99333191,2.266666651,677.0,1,23.2,1006.099976,471.8831787,23.0443325
2021-09-07 09:45:00,63.53333282,46.68500137,1.733333349,677.833313,5,23.2,1006.099976,471.5120239,23.18400002
2021-09-07 09:50:00,66.30000305,46.6085701,1.571428537,674.5,4,23.3,1006.200012,473.6927185,23.14321518
2021-09-07 09:55:00,64.12000275,46.38800049,1.566666722,670.666687,4,23.4,1006.099976,472.721283,23.21666718
2021-09-07 10:00:00,62.49333191,46.31999969,1.700000048,671.0999756,3,23.4,1006.200012,472.6918945,23.23833275
2021-09-07 10:05:00,61.20000076,46.38866806,1.799999952,672.5333252,3,23.4,1006.099976,472.2765198,23.21299934
2021-09-07 10:10:00,62.11724091,46.36517334,1.551724195,659.758606,3,23.4,1006.099976,470.7056885,23.1848278
2021-09-07 10:15:00,58.52000046,46.29333496,1.766666651,648.7999878,3,23.3,1006.099976,473.0691223,23.20100021
