sound_pressure_level [dba],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],new_time,outdoor_relative_humidity [%],fcu_fan_speed [Hz],occupant_count [number],illuminance [lux]
57.16999817,24.81333351,2.099999905,467.6666565,2021-09-07 14:10:00,73.10006714,27.20224571,8,0.0
57.13999939,24.83466721,2.033333302,467.9333191,2021-09-07 14:15:00,69.30001068,27.20224571,8,0.0
56.9366684,24.86300087,2.299999952,469.6666565,2021-09-07 14:20:00,67.79986572,27.20224571,8,0.0
56.90999985,24.87400055,2.133333445,472.3999939,2021-09-07 14:25:00,66.39996338,27.20224571,10,0.0
57.0241394,24.88689613,2.068965435,471.9310303,2021-09-07 14:30:00,66.50006104,27.20224571,10,0.0
57.15000153,24.90833282,2.133333445,471.2333374,2021-09-07 14:35:00,68.09981537,27.20224571,10,0.0
56.93333435,24.89699936,2.066666603,472.3666687,2021-09-07 14:40:00,67.30001831,27.20224571,10,0.0
57.02666855,24.90866661,2.066666603,470.8999939,2021-09-07 14:45:00,68.79987335,27.20224571,10,0.0
57.23333359,24.92266655,2.099999905,468.6333313,2021-09-07 14:50:00,66.2000351,27.20224571,10,0.0
57.00333405,24.9470005,2.166666746,470.3666687,2021-09-07 14:55:00,64.10019684,27.20224571,10,0.0
56.72499847,24.9642849,2.214285612,440.4285583,2021-09-07 15:00:00,62.19971085,27.20224571,9,0.0
57.12333298,24.98366737,2.066666603,461.7999878,2021-09-07 15:05:00,59.89985657,27.20224571,8,0.0
57.07333374,24.99200058,2.099999905,466.4333191,2021-09-07 15:10:00,58.49999237,27.20224571,9,0.0
57.04999924,25.0296669,2.033333302,467.2000122,2021-09-07 15:15:00,57.61834335,27.20224571,10,0.0
56.97333145,25.03533363,2.099999905,470.7666626,2021-09-07 15:20:00,55.70029449,27.20224571,10,0.0
56.89310455,25.04655266,2.103448391,472.6896667,2021-09-07 15:25:00,54.00008011,27.20224571,10,0.0
57.13333511,25.05666733,2.166666746,474.4666748,2021-09-07 15:30:00,55.19989014,27.20224571,10,0.0
57.25666809,25.07500076,2.133333445,471.0,2021-09-07 15:35:00,52.90018845,27.20224571,10,0.0
57.25999832,25.09233284,2.066666603,467.7333374,2021-09-07 15:40:00,54.59988785,27.20224571,10,0.0
57.07666779,25.10533333,2.133333445,470.0666809,2021-09-07 15:45:00,52.40021896,27.20224571,8,0.0
56.80714417,25.10357094,2.035714388,470.5,2021-09-07 15:50:00,53.99992371,27.20224571,8,0.0
57.28333282,25.08233261,2.233333349,470.8999939,2021-09-07 15:55:00,53.29992676,27.20224571,8,0.0
57.40000153,25.11000061,2.099999905,472.6333313,2021-09-07 16:00:00,52.3885498,27.20224571,8,0.0
57.26333237,25.12733269,2.166666746,469.6666565,2021-09-07 16:05:00,50.40021896,27.20224571,8,0.0
57.19666672,25.12800026,2.033333302,471.4666748,2021-09-07 16:10:00,50.90007019,27.20224571,8,0.0
57.12068939,25.15310287,2.068965435,471.6551819,2021-09-07 16:15:00,57.30016708,27.20224571,7,0.0
57.09999847,25.15866661,2.099999905,469.7666626,2021-09-07 16:20:00,56.09997177,27.20224571,8,0.0
57.09666824,25.15266609,2.099999905,468.0666809,2021-09-07 16:25:00,55.70006943,27.20224571,10,0.0
57.11999893,25.19599915,2.166666746,464.3999939,2021-09-07 16:30:00,57.60009766,27.20224571,10,0.0
57.04999924,25.18233299,2.200000048,467.2666626,2021-09-07 16:35:00,61.30003357,27.20224571,10,0.0
56.56785583,25.19071388,2.035714388,468.5,2021-09-07 16:40:00,61.99999237,27.20224571,10,0.0
56.90999985,25.19599915,2.066666603,467.7666626,2021-09-07 16:45:00,62.79960251,27.20224571,10,0.0
56.93999863,25.22166634,2.0,467.9333191,2021-09-07 16:50:00,63.79743576,27.20224571,10,0.0
57.16333389,25.19633293,2.099999905,468.3666687,2021-09-07 16:55:00,65.79992676,27.20224571,10,0.0
57.00333405,25.22433281,2.066666603,469.2000122,2021-09-07 17:00:00,64.50003052,27.20224571,10,0.0
56.74333191,25.24300003,2.133333445,467.9666748,2021-09-07 17:05:00,65.49987793,27.20224571,10,0.0
56.75517273,25.25137901,2.137931108,466.0689697,2021-09-07 17:10:00,65.00003815,27.20224571,10,0.0
56.81666565,25.28199959,2.133333445,465.4666748,2021-09-07 17:15:00,60.89995193,27.20224571,10,0.0
57.01666641,25.3136673,2.099999905,463.5,2021-09-07 17:20:00,58.80008316,27.20224571,10,0.0
57.16666794,25.29266739,1.966666698,464.8333435,2021-09-07 17:25:00,56.40011597,27.20224571,10,0.0
57.15000153,25.27633286,2.066666603,463.3666687,2021-09-07 17:30:00,57.79997635,27.20224571,9,0.0
57.18928528,25.28107071,2.071428537,463.6428528,2021-09-07 17:35:00,56.50008392,27.20224571,9,0.0
57.51333237,25.2753334,2.0,463.2333374,2021-09-07 17:40:00,57.00001144,27.20224571,9,0.0
