Atmospheric Pressure,indoor_relative_humidity [%],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],occupant_count [number],voc [ppb]
56.2,56.97,25.57,1.89,550.21,17,22.3571434
56.35,57.16,25.54,1.53,543.83,20,27.70000076
56.3,57.2,25.52,1.57,546.43,27,22.10000038
56.34,57.07,25.54,1.6,548.03,21,20.03333282
56.42,57.01,25.56,1.43,549.9,26,20.0
56.41,56.9,25.56,1.53,550.43,22,20.0
56.35,57.08,25.55,1.4,551.8,24,20.0
56.39,56.96,25.57,1.21,551.1,29,20.0
56.39,57.03,25.58,1.4,550.83,27,20.0
56.42,57.04,25.56,1.23,552.47,17,20.0
56.27,57.07,25.55,1.21,553.25,23,20.0
56.46,56.96,25.58,1.17,550.87,22,24.33333397
56.5,56.82,25.58,1.2,548.47,22,20.96666718
56.83,56.81,25.59,1.23,550.9,17,20.0
56.37,56.79,25.59,1.1,555.0,18,20.0
56.65,56.9,25.57,1.2,555.07,21,20.0
56.55,56.8,25.57,1.4,556.43,24,20.0
56.88,56.92,25.56,1.17,557.83,16,20.0
56.8,56.92,25.56,1.27,559.2,28,20.0
56.36,56.78,25.59,1.2,558.13,16,20.0
56.34,56.68,25.61,1.13,555.7,18,20.0
56.38,56.86,25.54,1.11,560.43,23,21.1071434
56.29,56.94,25.56,1.17,562.5,18,20.76666641
56.37,56.9,25.55,1.13,562.2,30,20.0
56.4,57.08,25.54,1.1,562.27,18,20.0
56.45,56.7,25.6,1.1,563.5,21,20.0
56.39,56.82,25.57,1.03,567.27,22,20.0
56.28,56.72,25.6,1.1,563.73,28,20.0
56.35,56.58,25.62,1.1,560.66,28,20.0
56.36,56.62,25.61,1.03,556.93,27,20.0
56.28,56.58,25.6,1.03,558.47,27,20.0
56.21,56.53,25.6,1.18,558.29,21,25.4642849
56.52,56.66,25.57,1.07,556.97,28,33.36666489
56.39,56.39,25.62,1.13,557.8,20,27.5
56.61,56.62,25.59,1.0,557.63,25,21.86666679
56.47,56.65,25.58,1.0,556.7,19,20.06666756
56.44,56.78,25.57,1.03,557.35,20,20.0
56.37,56.79,25.55,1.13,560.3,20,20.0
56.47,56.87,25.53,1.1,562.76,29,20.0
56.72,56.5,25.59,1.07,560.53,22,20.0
56.31,56.81,25.55,1.07,554.97,16,20.0
56.67,56.55,25.57,1.29,555.71,27,21.0
57.27,56.29,25.61,1.1,558.57,16,36.83333206
56.67,56.32,25.59,1.1,560.53,24,32.56666565
55.9,56.35,25.59,1.2,557.43,28,26.66666603
55.86,56.63,25.54,1.17,548.13,20,20.93333244
55.81,56.81,25.5,1.1,535.03,25,20.0
55.83,57.07,25.43,1.07,524.0,19,20.0
55.95,56.89,25.44,1.1,514.0,19,20.0
55.95,56.81,25.43,1.07,505.24,20,20.0
55.92,56.69,25.43,1.07,498.8,28,20.0
55.9,56.67,25.38,0.97,490.83,15,20.0
56.12,56.67,25.38,1.11,488.14,17,29.0714283
55.89,56.67,25.35,1.13,483.37,21,26.70000076
55.88,56.63,25.35,1.13,481.5,29,21.60000038
55.89,56.47,25.36,1.07,479.03,28,20.0
55.92,56.48,25.32,1.03,475.8,22,20.0
56.03,56.45,25.3,1.0,471.03,23,20.0
55.87,56.44,25.31,1.0,466.23,20,20.0
55.9,56.16,25.31,1.07,464.79,23,20.0
55.88,56.16,25.24,1.0,460.65,16,20.0
55.89,55.89,25.28,1.03,456.0,28,20.0
56.01,55.96,25.24,1.04,455.32,17,23.3928566
55.88,55.79,25.25,1.13,453.6,28,25.29999924
55.91,55.85,25.21,1.07,451.27,18,21.13333321
55.92,55.77,25.22,1.03,448.87,30,20.0
55.91,55.94,25.18,1.03,445.33,20,20.0
55.87,55.88,25.21,1.0,441.1,25,20.0
55.9,55.95,25.29,1.1,441.53,24,20.0
56.7,56.37,25.28,1.03,443.17,21,20.0
58.33,56.73,25.33,1.17,449.53,29,20.0
