Atmospheric Pressure,optimal_relative_humidity [%],air_temperature [Celsius],indoor_co2 [ppm],dry_bulb_temp [Celsius],outdoor_co2 [ppm],occupant_count [number]
56.05,64.86,25.84,477.93,29.6,485.29,38
56.06,64.92,25.84,476.87,29.6,487.29,44
56.06,65.05,25.83,470.97,29.6,486.09,45
56.02,65.11,25.83,469.77,29.5,485.89,39
55.64,65.43,25.77,470.5,29.5,484.29,38
56.03,65.52,25.75,471.67,29.65,485.69,38
55.98,65.5,25.78,472.43,29.6,485.69,36
56.0,65.5,25.81,470.9,29.7,483.89,36
55.95,65.46,25.84,468.0,29.7,484.89,35
55.98,65.56,25.83,465.4,29.6,484.89,37
55.99,65.87,25.75,461.27,29.5,482.49,44
55.99,65.75,25.81,460.87,29.5,483.49,47
56.0,65.86,25.8,459.38,29.4,483.49,45
55.99,65.86,25.81,458.93,29.4,482.29,43
55.67,66.0,25.79,456.36,29.4,482.29,46
55.99,66.19,25.75,455.83,29.4,481.69,44
56.04,66.32,25.75,453.13,29.4,481.29,40
56.02,66.33,25.76,450.17,29.4,480.29,38
56.02,66.27,25.79,453.0,29.3,474.29,45
56.01,66.43,25.76,452.0,29.3,480.09,43
55.99,66.38,25.79,450.23,29.3,480.29,38
56.02,66.42,25.8,452.13,29.1,479.69,42
55.99,66.53,25.78,453.9,29.0,478.49,46
56.0,66.68,25.77,452.24,28.9,478.49,37
55.98,66.8,25.74,452.63,28.9,477.69,45
55.66,66.79,25.75,453.89,28.8,476.49,38
56.01,66.97,25.72,454.37,28.8,478.09,47
56.0,66.89,25.75,454.03,28.8,476.49,44
56.01,66.93,25.75,453.1,28.8,476.49,46
56.0,67.01,25.75,453.5,28.6,477.49,37
